2016-07-16 12:18:52,281 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tutorial6_IfStatements:Tutorial6_IfStatements:0.0.1-SNAPSHOT @ /Users/Jason/Desktop/codingKatas/java/Tutorial6_IfStatements/pom.xml.
2016-07-16 12:18:52,341 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial6_IfStatements/src
2016-07-16 12:18:52,342 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Tutorial6_IfStatements/src/test/java because it overlaps with /Tutorial6_IfStatements/src
2016-07-16 12:18:52,383 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-07-16 12:18:52,503 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-16 12:18:52,503 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jason/Desktop/codingKatas/java/Tutorial6_IfStatements/src/main/resources
2016-07-16 12:18:52,506 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-16 12:18:52,507 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jason/Desktop/codingKatas/java/Tutorial6_IfStatements/src/test/resources
2016-07-16 12:18:59,284 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tutorial7_Scanners:Tutorial7_Scanners:0.0.1-SNAPSHOT @ /Users/Jason/Desktop/codingKatas/java/Tutorial7_Scanners/pom.xml.
2016-07-16 12:18:59,880 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-16 12:18:59,880 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jason/Desktop/codingKatas/java/Tutorial7_Scanners/src/main/resources
2016-07-16 12:18:59,883 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-16 12:18:59,884 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jason/Desktop/codingKatas/java/Tutorial7_Scanners/src/test/resources
2016-07-16 12:19:00,133 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial7_Scanners/src
2016-07-16 12:19:00,134 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Tutorial7_Scanners/src/test/java because it overlaps with /Tutorial7_Scanners/src
